id,owner_id,name,flat_no,addressl1,locality,city,state,country,zipcode,sqftsuper,image,images,type,sharetype,baths,kitchens,washrooms,totalrooms,availrooms,rent,owner_rent,parkingcharges,deposite,maintenance,status,availfrom,availto,tenure,details,notes,cntrestaurants,cnthospitals,cntgyms,cnttheater,cntmalls,workdistance,latitude,longitude,blockname,gender,tag_as,commpercentage,tds,actualOSAmount,pendingOSAmount,amountRemark,minimumGuranteeIsActive,minimumGuranteeAmount,minimumGuranteeStart,minimumGuranteeEnd,propertyrules,parking_number,metatitle,metakeyword,metadescription,assign_to,golden,partner,showinhomepage,created_at,updated_at,owner_id2,owner_id3
76,828,Parijatha Apartment,B2 E4,"Parijatha Avenue, Bellandur",Bellandur,bengaluru,karnataka,india,560103,1650,0,0,flat,0,2,1,2,3,0,35000,0,0,105000,0,blocked,2017-01-15,2017-12-15,11,"Parijatha Apartments is located in Green Glen Layout, Bellandur. Behind Soul Space Spirit Bangalore Central mall. In close proximity to the best of healthcare and educational institutions and finest malls and within a radius of 3 KM from MNCs like Intel, CISCO, J P Morgan, Accenture, Cap Gemini Honeywell, Inmobi, Amadeus and Wipro, and hubs like Ecospace, Prestige tech park.",,20,20,20,3,20,0,12.926916,77.672716,0,1,marketplace,,,,,,notactive,,,,0,0,,,,,0,0,0,2017-3-1 16:47,2019-6-29 0:12,,
100,1052,Maruti Grandeur,G-003,"Green Glen Layout, Bellandur, Bengaluru, Karnataka 560103",Bellandur,bengaluru,karnataka,india,560103,1474,0,0,flat,0,2,0,3,3,3,35000,34000,0,105000,0,blocked,2018-03-03,2018-07-01,11,"Located on Green glane layout between HSR and Bellandur, in close proximity to all nearby MNCs. Maruti Grandeur is a centrally located, gated community with fully furnished flat ideal for Girls and Families, This is a fully vastu compliant flat and attracts a lot of positive energy, Health, Wealth, & serenity.",na,20,20,20,2,20,0,12.92725,77.67161,0,2,marketplace,14,0,0,0,,notactive,0,1970-01-01,1970-01-01,0,0,,,,,0,0,0,2017-6-21 21:10,2018-12-11 12:36,,
204,1703,80 Trees Surya Shakti,B-201,Adarsh Palm Retreat Lane 11,Bellandur,bengaluru,karnataka,india,560035,1700,0,0,flat,0,3,0,3,3,1,39000,39000,0,117000,0,occupied,2018-03-28,2019-02-28,11,"Strategically located on the Outer Ring Road, off the Bellandur-Marthahalli-Sarjapur stretch to enhance your proximity to all entities that will afford you a world-class urban lifestyle. From the finest schools, hospitals to leisure hubs and cultural attractions, 80 trees is poised to be an ideal home for the IT / ITeS professional who wish to walk to their place of work.trategically located on the Outer Ring Road, off the Bellandur-Marthahalli-Sarjapur stretch to enhance your proximity to all entities that will afford you a world-class urban lifestyle. From the finest schools, hospitals to leisure hubs and cultural attractions.",,0,0,0,0,0,0,12.9170451,77.6954451,0,0,marketplace,14,0,0,0,,notactive,0,1970-01-01,1970-01-01,0,0,,,,,0,0,0,2018-3-30 16:56,2018-7-18 19:48,,
117,798,Akme Harmony,1A-502,Bellandur,Bellandur,bengaluru,karnataka,india,560037,1810,0,0,flat,0,3,0,3,3,1,44000,40000,0,132000,0,partial,2018-04-08,2019-06-09,11," Located in Bangalore on the Outer Ring Road linking Sarjapur Road and Marathahalli, Akme Harmony is an oasis of tranquillity and an extravagant expanse of open spaces. The complex is a symphony of world class amenities and services, architecture that is sure to appeal to the aesthete in you.  It is a  3BHK vastu comliant flat bestowed with all amenities that go with your dream lifestyle. In close proximity to the best of healthcare, educational institutions, IT parks and finest malls.",,20,20,20,2,20,0,12.9223732,77.6697387,0,1,marketplace,7,0,0,0,,notactive,0,1970-01-01,1970-01-01,0,0,,,,,0,0,0,2017-8-4 12:17,2019-7-2 17:28,,
99,1052,Maruti Grandeur,F-105," Green Glen Layout, Bellandur, Bengaluru, Karnataka 560103",Bellandur,bengaluru,karnataka,india,560103,1874,0,0,flat,0,3,0,3,4,4,48000,42000,0,144000,0,available,2019-04-01,2019-05-01,11,"Located on Green glane layout between HSR and Bellandur, in close proximity to all nearby MNCs. Maruti Grandeur is a centrally located, gated community with fully furnished flat ideal for Girls and Families, This is a fully vastu compliant flat and attracts a lot of positive energy, Health, Wealth, & serenity.",na,20,20,20,2,20,0,12.92725,77.67161,0,2,marketplace,10,0,0,0,,notactive,0,1970-01-01,1970-01-01,0,0,,,,,0,0,0,2017-6-21 20:12,2019-6-17 18:14,,
102,1053,"Adarsh Palm Retreat, T 7",S-301,S301 Tower 7 ,Bellandur,bengaluru,karnataka,india,560103,2275,0,0,flat,0,3,0,3,3,7,53700,48000,0,161100,0,blocked,2018-05-07,2019-01-21,11,"Located on Outer Ring Road between Sarjapur Road and Marathalli, in close proximity to MNCs like Intel, CISCO, J P Morgan, Accenture, Cap Gemini Honeywell, Inmobi, Amadeus and Wipro, and hubs like Ecospace, Prestige tech park, Adarsh Palm Retreat is a centrally located, plush and green gated community with all amenities.Our rooms in this delightful residential community, are furnished with tastefully done adequate wood work, furniture and appliances.",,20,20,20,2,20,0,12.9227169,77.6698289,0,1,marketplace,14,0,0,0,,notactive,0,1970-01-01,1970-01-01,0,0,,,,,0,0,0,2017-6-24 12:51,2019-1-22 14:27,,
202,1698,Adarsh Palm Retreat,X-1002 Tower-1,adarsh palm retreat,bellandur,bengaluru,karnataka,india,560103,2500,0,0,flat,0,4,0,4,4,4,70000,70000,0,210000,0,blocked,2018-03-28,2019-02-28,11,"Located on Outer Ring Road between Sarjapur Road and Marathalli, in close proximity to MNCs like Intel, CISCO, J P Morgan, Accenture, Cap Gemini Honeywell, Inmobi, Amadeus and Wipro, and hubs like Ecospace, Prestige tech park, Adarsh Palm Retreat is a centrally located, plush and green gated community with all amenities.Our rooms in this delightful residential community, are furnished with tastefully done adequate wood work, furniture and appliances.",,0,0,0,0,0,0,12.9227169,77.6698289,0,0,marketplace,,,,,,notactive,,,,0,0,,,,,0,0,0,2018-3-29 16:00,2018-4-6 13:42,,
