id,name,objecttype,primaryid,path,url,size,created_at,updated_at
1703,"Nikhil Daspatnaik.jpeg",user,235,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/med_57ee3c8dcf78e.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/med_57ee3c8dcf78e.jpeg,med,"2016-09-30 19:51:03","2016-09-30 19:51:03"
1704,"Nikhil Daspatnaik.jpeg",user,235,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/thb_57ee3c8dcf78e.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/thb_57ee3c8dcf78e.jpeg,thb,"2016-09-30 19:51:03","2016-09-30 19:51:03"
1705,"Nikhil Daspatnaik.jpeg",user,235,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/icn_57ee3c8dcf78e.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/icn_57ee3c8dcf78e.jpeg,icn,"2016-09-30 19:51:03","2016-09-30 19:51:03"
1706,Shubham.jpeg,user,212,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/org_57ee3f25d39eb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/org_57ee3f25d39eb.jpeg,org,"2016-09-30 20:02:05","2016-09-30 20:02:05"
1707,Shubham.jpeg,user,212,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/big_57ee3f25d39eb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/big_57ee3f25d39eb.jpeg,big,"2016-09-30 20:02:06","2016-09-30 20:02:06"
1708,Shubham.jpeg,user,212,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/med_57ee3f25d39eb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/med_57ee3f25d39eb.jpeg,med,"2016-09-30 20:02:06","2016-09-30 20:02:06"
1709,Shubham.jpeg,user,212,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/thb_57ee3f25d39eb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/thb_57ee3f25d39eb.jpeg,thb,"2016-09-30 20:02:06","2016-09-30 20:02:06"
1710,Shubham.jpeg,user,212,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/icn_57ee3f25d39eb.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/icn_57ee3f25d39eb.jpeg,icn,"2016-09-30 20:02:06","2016-09-30 20:02:06"
1711,"t satya sumanth.jpeg",user,237,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/org_57ee3feb12e49.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/org_57ee3feb12e49.jpeg,org,"2016-09-30 20:05:23","2016-09-30 20:05:23"
1712,"t satya sumanth.jpeg",user,237,/home/yorprod/siteapi/public/uploadtemp/2016/09/30/big_57ee3feb12e49.jpeg,https://api.yourownroom.com/uploadtemp/2016/09/30/big_57ee3feb12e49.jpeg,big,"2016-09-30 20:05:23","2016-09-30 20:05:23"
