id,owner_id,name,flat_no,addressl1,locality,city,state,country,zipcode,sqftsuper,image,images,type,sharetype,baths,kitchens,washrooms,totalrooms,availrooms,rent,owner_rent,parkingcharges,deposite,maintenance,status,availfrom,availto,tenure,details,notes,cntrestaurants,cnthospitals,cntgyms,cnttheater,cntmalls,workdistance,latitude,longitude,blockname,gender,tag_as,commpercentage,tds,actualOSAmount,pendingOSAmount,amountRemark,minimumGuranteeIsActive,minimumGuranteeAmount,minimumGuranteeStart,minimumGuranteeEnd,propertyrules,parking_number,metatitle,metakeyword,metadescription,assign_to,golden,partner,showinhomepage,created_at,updated_at
11,773,"Sandeep Vihar C12, Kannamangala",604,"#604, C12, AWHO Sandeep Vihar, Whitefield-Hoskote Rd, Kannamangala, Whitefield",Whitefield,bengaluru,karnataka,india,560067,2400,0,,flat,0,3,1,0,4,0,40600,NULL,1500,121800,0,blocked,2016-05-01,2017-07-11,6,"Our rooms at Sandeep Vihar, centrally located in Whitefield are cosy,well lit and tastefully furnished. The close proximity of tech parks like ITPL and EPIP, MNCs like SAP, Tesco, Oracle,HLL,GE and TCS and malls like the Forum value mall and Phoenix market city make these plush gated community apartments, very sought after for the urban youth. The apartment complex has swimming pool, Gymnasium, Club House and a tennis and badminton. With theatres, art galleries, glitzy malls and restaurants galore, Whitefield today is one of the most happening locations in Bangalore.Extensive city connectivity by BMTC and the presence of several tech parks and MNCs have added to the allure of this place.",,20,7,12,2,7,0,13.020816,77.761856,C12,1,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-04-21 04:00:00","2019-01-04 00:10:22"
13,773,"Sandeep Vihar C11, Kannamangala",104,"C11, AWHO Sandeep Vihar, Whitefield-Hoskote Rd, Kannamangala, Whitefield",Whitefield,bengaluru,karnataka,india,560067,2400,0,,flat,0,3,1,0,4,0,40600,NULL,1500,121800,0,blocked,2016-05-01,2017-07-11,6,"Our rooms at Sandeep Vihar, centrally located in Whitefield are cosy,well lit and tastefully furnished. The close proximity of tech parks like ITPL and EPIP, MNCs like SAP, Tesco, Oracle,HLL,GE and TCS and malls like the Forum value mall and Phoenix market city make these plush gated community apartments, very sought after for the urban youth. The apartment complex has swimming pool, Gymnasium, Club House and a tennis and badminton. With theatres, art galleries, glitzy malls and restaurants galore, Whitefield today is one of the most happening locations in Bangalore.Extensive city connectivity by BMTC and the presence of several tech parks and MNCs have added to the allure of this place.",,20,7,12,2,7,0,13.020816,77.761856,C11,2,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-04-21 04:00:00","2019-01-04 00:10:24"
17,120,"J S Harmony, Hoysala Nagar",101,"3rd Main Rd, Hoyasalanagar, Near Ganesha Temple, Opposite Narayana e-techno School",Horamavu,bengaluru,karnataka,india,560045,1000,0,,flat,0,2,1,2,2,0,40000,NULL,1500,120000,0,blocked,2016-06-01,2017-06-01,11,NA,,20,20,20,1,20,3,13.020175,77.666570,A,1,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-06-24 17:28:38","2018-10-22 00:10:27"
18,351,"Sandeep Vihar D15, Kannamangala",1303,"AWHO Sandeep Vihar, Whitefield-Hoskote Rd, Kannamangala",Whitefield,bengaluru,karnataka,india,560067,2400,0,,flat,0,4,1,4,4,4,24000,23000,1500,144000,0,blocked,2016-08-01,2017-08-01,6,"Our Apartment in Sandeep Vihar, centrally located in Whitefield are cosy,well lit and tastefully furnished. The close proximity of tech parks like ITPL and EPIP, MNCs like SAP, Tesco, Oracle,HLL,GE and TCS and malls like the Forum value mall and Phoenix market city make these plush gated community apartments, very sought after for the urban youth. The apartment complex has swimming pool, Gymnasium, Club House and a tennis and badminton. With theatres, art galleries, glitzy malls and restaurants galore, Whitefield today is one of the most happening locations in Bangalore.Extensive city connectivity by BMTC and the presence of several tech parks and MNCs have added to the allure of this place.",,20,7,12,2,7,3,13.020816,77.761856,D15,0,marketplace,0.00,0.00,0,0,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-07-01 13:45:12","2019-01-04 00:10:28"
20,1058,"Electronic city (Concorde Sylvan View)",42,"Ramasagar Village, Near Gold Coin Club, Electronic City Post. Sigena Agrena","Electronic City",bengaluru,karnataka,india,560099,2050,0,,villa,0,3,1,3,3,3,20000,18000,0,60000,0,blocked,2016-07-10,2017-07-10,6,"Sylvan View villas are independent designer villas spreading across 12 acres of land. All the houses are constructed in vastu-compliant designs built amidst open spaces, landscaped gardens and tree-lined avenues.",,1,0,1,0,2,0,12.830007,77.708026,"Concorde Sylvan View",0,marketplace,0.00,0.00,0,0,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-07-09 04:40:50","2018-12-11 12:43:48"
21,120,"Kandivali (Kalpataru Gardens, 11th Floor)",2C11,"Phase 2, Rd Number 3, Off Ashok Chakarvarty Road, Ashok Nagar, Kandivali East","Ashok Nagar, Kandivali East",pune,maharashtra,india,400101,1100,0,,flat,0,2,1,2,2,2,49800,NULL,NULL,298800,0,blocked,2016-07-01,2017-07-01,6,"Kalpataru Gardens is located in Kandivali East, an up market suburb that has every facility essential to a modern lifestyle- malls, multiplexes, schools etc. Well connected and high on convenience as the main arterial roads- S.V.Road and the W.E.Highway, are easily accessible.  Kalpataru Gardens is situated just 1 km from Kandivali Station and the W.E.Highway, close to Raghuleela Mall and Fame Adlabs.",,20,20,19,6,20,0,19.198124,72.854266,"Kalpataru Gardens",0,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-07-11 14:23:38","2019-01-04 00:10:31"
22,120,"Concorde Manhattan",NULL,"Neeladri Road, Opposite to Wipro Gate No. 4, Electronic City Pahse-1","Electronic City",bengaluru,Karnataka,INDIA,560100,1609,0,,flat,0,0,0,0,3,3,0,NULL,NULL,0,0,blocked,2016-07-11,2017-06-11,0,,"Family preferred. ",0,0,0,0,0,0,,,"Greenwich D Block",0,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-07-11 21:39:43","2016-07-11 21:39:43"
23,804,"Springfields H Block, Sarjapur Road",803,"19/20 Ambalipura, Near Bellandur Gate, Sarjapur Main Road","Sarjapur Main Road",bengaluru,karnataka,india,560102,1920,0,,flat,0,3,1,3,3,0,69700,NULL,1500,697000,0,blocked,2016-07-14,2017-07-14,6,,,20,20,20,0,20,0,12.918245,77.669480,H,1,marketplace,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-07-14 20:37:25","2018-09-22 00:10:32"
25,800,"NR Springwoods",#401,"115, Dr. Shivaramkaranth Nagar, Sri Balaji Krupa Layout, RK Hegde Nagar","Manyata Tech Park",bengaluru,karnataka,india,560077,2050,0,,flat,0,3,1,3,3,1,21935,20500,0,65805,4464,occupied,2018-06-02,2019-05-02,6,"NR Springwoods is one of the popular residential projects in Telecom Layout, Bangalore. This project offers thoughtfully constructed apartments with modern amenities for the comfort of residents. Adding to this, it is situated close to the market, hospital and various educational institutions.",,20,13,8,0,16,0,13.066772,77.625197,"NR Springwoods",1,managed,0.00,10.00,0,0,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-07-21 01:51:22","2018-12-31 00:10:34"
26,772,"Vars Jacaranda",309,"Fern City Road,Doddenakundi",Mahadevapura,bengaluru,karnataka,india,560048,1570,0,,flat,0,2,1,2,3,0,30870,29400,0,92610,0,occupied,2017-06-11,2020-05-10,24,"Mahadevapura is a centrally located bustling suburb of Bangalore today just off Marathalli junction. It’s close proximity to HAL Airport, Whitefield and Sarjapur Road  and the presence of the Outer Ring Road, has resulted in this area being transformed into a self-sufficient township with a number of residential complexes and IT companies making their appearance. Vars Jacaranda is one such conveniently located apartment complex with all amenities, close to places like the EMC Corporation, Mphasis IronMountain and Bagmane World Technology Centre. Our bright and cheerful apartments in this complex are made more attractive with elegant furnishings, fittings and appliances.",,20,12,18,1,20,0,12.978776,77.696805,A,1,managed,0.00,10.00,0,0,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-07-21 20:55:06","2018-12-27 00:10:36"
27,120,"Wagholi (Alfa Homes)",0,"Pune, Maharashtra",Wagholi,pune,maharashtra,india,412207,865,0,,flat,0,2,1,2,2,2,11000,NULL,NULL,33000,0,blocked,2016-08-01,2017-08-01,6,,,20,6,4,0,12,0,18.585016,73.969960,"Alfa Homes",0,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-07-26 13:46:42","2018-12-31 00:10:38"
28,349,"Salarpuria Senorita - Adela",1401,"14/2, Sarjapur Main Rd, Kaikondrahalli","Sarjapur Main Road",bengaluru,karnataka,india,560035,1925,0,,flat,0,3,1,3,3,1,43000,39000,0,129000,0,partial,2016-09-01,2019-12-12,24,"Located on Sarjapur Main Road, opposite to Wipro Corporate office, Salarpuria Senorita is a centrally located, plush and green gated community with all amenities.Our rooms in this delightful residential community, are furnished with tastefully done adequate wood work, furniture and appliances.",,20,17,17,1,20,0,12.910867,77.682427,Adela,1,managed,0.00,10.00,0,0,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-08-01 19:42:08","2018-12-29 00:10:44"
29,347,"Supertech Livingston",C1-1201,"Supertech Livingston Crossing Republik, Ghaziabad, Uttar Pradesh",Dundahera,noida_ghaziabad,"uttar pradesh",india,201001,1029,0,,flat,0,2,1,2,3,2,12580,11680,0,0,0,partial,2016-08-01,2020-04-01,11,NA,,20,17,18,0,20,0,28.628851,77.436819,NA,1,managed,0.00,0.00,0,0,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-08-05 16:48:24","2018-12-28 00:10:45"
30,1072,"Confident Bellatrix","Villa 99","Thyvakanahally, Sarjapur-Athibele Road",Thyvakanahally,bengaluru,karnataka,india,562125,4500,0,,villa,0,5,1,5,5,5,35000,35000,0,105000,0,available,2017-05-10,2018-04-09,11,"Confident Bellatrix, located on the Main NH 207 road leading to Sarjapur. The project is located between Electronic city and Whitefield. The township is a picture of convenience: all its wiring utilities, including telephone and electrical cables are concealed underground. The roads within the campus are wide, and completed with reinforced cement and concrete. Confident Bellatrix is in close proximity to International schools like TISB, Greenwood High, Inventure Academy, Indus International School and Confident GEAR School, apart from all this – it’s also close to the proposed SEZ Campus on Sarjapur Road and the Confident GEAR School.",,9,3,0,0,1,0,12.834246,77.782726,"Phase 1",0,marketplace,14.00,0.00,0,0,,notactive,0,1970-01-01,1970-01-01,NA,NULL,,,,NULL,0,0,0,"2016-08-09 17:21:44","2019-01-01 00:10:44"
31,120,"Horamavu (JS Harmony 3rd Floor)",A-307,"3rd Main Rd, Hoyasalanagar, Horamavu",Horamavu,bengaluru,karnataka,india,560016,1200,0,,flat,0,2,1,2,2,1,25000,NULL,NULL,75000,1900,blocked,2016-09-01,2017-07-31,6,"JS Harmony is one of the popular residential project in Ramamurthy Nagar area.",,20,20,20,1,20,0,13.019774,77.666491,A,1,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-09-02 04:29:24","2018-10-22 00:10:47"
32,120,"Rohan Tarang, Wakad",403,"Near Hinjewadi Bridge",Wakad,pune,maharashtra,india,411057,1346,0,,flat,0,2,1,2,2,2,21500,NULL,0,64500,0,blocked,2016-10-01,2017-08-31,6,"When you open a window of a Rohan Tarang apartment, you open to neatly landscaped gardens or a panoramic view of the entire city skyline. This is because the layout has been planned in such a way that the windows don’t open on other windows. And every time you open the door, your home will not be on display for the world to see. Each doorway is planned in a way such that it opens into a lobby instead of your living room. Run in screaming if you wish and yet you won’t be disturbing a soul. This is because there are no common walls between homes. So no irritating knocking noises from the other side, or noise creeping in from the other side.",,20,20,12,0,20,1,18.590896,73.760496,D,0,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-09-12 05:24:37","2018-10-06 00:10:48"
33,878,"DLF Maiden Heights A-9, Electronic City",091,Jigani,"Electronic City",bengaluru,karnataka,india,560105,1230,0,,flat,0,3,1,3,3,3,29700,12000,1500,89100,0,available,2016-09-12,2017-09-12,6,"The DLF Maiden Heights apartments are equipped with modern amenities for comfort of residents. It is strategically located in the midst of Jigani - Bommasandra Industrial Area.",,5,1,0,0,2,0,12.784110,77.657984,A,2,marketplace,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-09-13 01:33:46","2018-09-22 00:10:49"
34,878,"DLF Maiden Heights A-11, Electronic City",112,Jigani,"Electronic City",bengaluru,karnataka,india,560105,1230,0,,flat,0,3,1,3,3,3,29700,12000,1500,89100,0,available,2016-09-12,2017-09-12,6,"The DLF Maiden Heights apartments are equipped with modern amenities for comfort of residents. It is strategically located in the midst of Jigani - Bommasandra Industrial Area.",,5,1,0,0,2,0,12.784110,77.657984,A,0,marketplace,0.00,0.00,0,0,,notactive,0,1970-01-01,1970-01-01,NA,NULL,,,,NULL,0,0,0,"2016-09-13 01:46:36","2018-09-22 00:10:50"
35,803,"DLF Maiden Heights",D-023,Jigani,"Electronic City",bengaluru,karnataka,india,560105,925,0,,flat,0,2,1,2,2,2,29700,9000,0,89100,0,available,2016-09-12,2017-09-12,6,"The DLF Maiden Heights apartments are equipped with modern amenities for comfort of residents. It is strategically located in the midst of Jigani - Bommasandra Industrial Area.",,5,1,0,0,2,0,12.784110,77.657984,D,1,marketplace,12.00,0.00,0,1405,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-09-13 01:55:11","2018-11-12 18:44:52"
36,802,"The Grove",D2,"20/6, Sarjapur Main Rd, Carmelaram, Janatha Colony, Doddakannelli, Bengaluru, Karnataka 560035","Sarjapur Road",bengaluru,karnataka,india,560035,3083,0,,house,0,3,1,3,3,2,37275,35500,0,106500,0,partial,2016-10-20,2019-09-19,24,"The Grove is a luxury row housing and villament project. Located just 2 Kms from Wipro Corporate office on Sarjapur Main Road, the site is in the vicinity of a number of IT offices and various renowned schools. The houses are designed in a contemporary and creative manner with an alluring elevation. The overall plan of the development provides spacious and luxurious environment for people staying in The Grove. ",,20,17,5,0,19,0,12.905730,77.700959,"Sarjapur Road",1,managed,0.00,10.00,0,0,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-09-13 02:04:07","2018-12-31 00:10:52"
37,802,"The Grove",A2,"20/6, Sarjapur Main Rd, Carmelaram, Janatha Colony, Doddakannelli, Bengaluru, Karnataka 560035","Sarjapur Road",bengaluru,karnataka,india,560035,3359,0,,house,0,4,1,4,4,4,49350,47000,0,141000,0,available,2016-10-20,2020-03-31,24,"The Grove is a luxury row housing and villament project. Located just 2 Kms from Wipro Corporate office on Sarjapur Main Road, the site is in the vicinity of a number of IT offices and various renowned schools. The houses are designed in a contemporary and creative manner with an alluring elevation. The overall plan of the development provides spacious and luxurious environment for people staying in The Grove. ",,20,17,5,0,19,0,12.905730,77.700959,"The Grove",1,managed,0.00,10.00,0,0,,notactive,0,1970-01-01,1970-01-01,,NULL,,,,NULL,0,0,0,"2016-09-13 02:17:43","2018-12-31 00:10:54"
38,801,"NR Springwoods",#006,"115, Dr. Shivaramkaranth Nagar, Sri Balaji Krupa Layout, RK Hegde Nagar","Manyata Tech Park",bengaluru,karnataka,india,560077,1752,0,,flat,0,2,1,0,3,1,26460,25200,0,79380,3867,partial,2018-06-14,2019-09-09,12,"NR Springwoods is one of the popular residential projects in Telecom Layout, Bangalore. This project offers thoughtfully constructed apartments with modern amenities for the comfort of residents. Adding to this, it is situated close to the market, hospital and various educational institutions.",,20,13,8,0,16,1,13.066772,77.625197,"NR Springwoods",2,managed,0.00,10.00,0,0,,notactive,0,1970-01-01,1970-01-01,NA,NULL,,,,NULL,0,0,0,"2016-09-14 05:39:29","2018-12-31 00:10:55"
39,120,"Bommanahalli (Alpine Park, 3rd Floor)",318,"B Block, Begur Road",Bommanahalli,bengaluru,karnataka,india,560068,1564,0,,flat,0,2,1,1,2,2,36000,NULL,NULL,108000,0,blocked,2016-10-01,2017-08-31,6,"Spacious 2 Bedroom apartment in Alpine Park is tastefully furnished and its proximity to Hosur Road makes it a residential hotspot. Numerous amenities such as Heritage Fresh, Tharavadu Family Restaurant, Gud Dhani, Woodys, Alliance School of Business and Oxford Engineering College are situated in close proximity.",,20,20,20,3,20,1,12.905403,77.627974,B,0,managed,NULL,NULL,NULL,NULL,NULL,notactive,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,0,0,0,"2016-09-15 06:44:08","2018-11-21 00:11:02"
40,806,"Ganga Alfa Paradise",I1-701,"RMC Garden, Wagholi",Wagholi,pune,maharashtra,india,412207,917,0,,flat,0,2,1,2,2,2,13500,22000,0,27000,0,occupied,2018-01-29,2019-01-29,24,"Ganga Alfa Paradise by Goel Ganga Developments is one of the popular residential project in Wagholi, Pune.  Ganga Alfa Paradise offers 2 BHK Luxurious Apartments with excellent amenities such as Club House and Landscape Gardens.",,20,20,10,0,18,1,18.571841,73.976455,A,0,marketplace,12.00,0.00,0,0,,notactive,0,1970-01-01,1970-01-01,NA,NULL,,,,NULL,0,0,0,"2016-09-18 05:29:19","2018-12-31 00:10:59"
41,771,"Future Plaza",G-4,"Hadosiddapura, Chikkakannalli","Sarjapur Main Road",bengaluru,karnataka,india,560035,1447,0,,flat,0,2,1,1,3,8,22050,21000,0,66150,2714,available,2016-10-15,2019-09-14,11,"Future plaza is is designed to provide maximum living space to suit your needs and ensure a healthy environment, large windows with designed balconies allows plenty of natural light and fresh air and the common areas are specious for easy movement.",,20,11,4,0,8,1,12.898186,77.702837,NA,1,managed,0.00,10.00,0,0,,notactive,0,1970-01-01,1970-01-01,NA,NULL,,,,NULL,0,0,0,"2016-09-21 04:55:18","2018-12-29 00:11:07"
